;i;j;period;weight
464;Edvin Diday;Groenen, Patrick J.F.;3;1.0
465;Edvin Diday;Jajuga, Krzysztof;3;2.0
466;Edvin Diday;Kiers, Henk;3;1.0
467;Adrian Raftery;Groenen, Patrick J.F.;3;1.0
468;Adrian Raftery;Hastie, Trevor;3;1.0
469;Adrian Raftery;Kiers, Henk;3;1.0
470;Adrian Raftery;McLachlan, Geoff;3;1.0
471;Adrian Raftery;Gilles Celeux;3;1.0
472;Adrian Raftery;Edvin Diday;3;1.0
473;Batagelj, Vladimir;Ferligoj, Anuska;4;3.0
474;Batagelj, Vladimir;Murtagh, Fionn;4;2.0
475;Batagelj, Vladimir;Wolfgang A. Gaul;4;1.0
476;Batagelj, Vladimir;Adrian Raftery;4;1.0
477;Bertrand, Patrice;Mirkin, Boris;4;1.0
478;Bertrand, Patrice;Wolfgang A. Gaul;4;1.0
479;Bertrand, Patrice;Edvin Diday;4;1.0
480;Bodjanova, Slavka;Jajuga, Krzysztof;4;1.0
481;Braak, Cajo ter;McLachlan, Geoff;4;1.0
482;Braak, Cajo ter;Meulman, Jacqueline;4;1.0
483;Braak, Cajo ter;Tibshirani, Robert;4;3.0
484;Braak, Cajo ter;Gilles Celeux;4;1.0
485;Braak, Cajo ter;Vermunt, Jeroen;4;1.0
486;Braak, Cajo ter;Wojtek J Krzanowski;4;1.0
487;Braak, Cajo ter;Edvin Diday;4;1.0
488;Braak, Cajo ter;Adrian Raftery;4;1.0
489;De Carvalho, Francisco De Assis Tenhorio;Bertrand, Patrice;4;1.0
490;De Carvalho, Francisco De Assis Tenhorio;Jajuga, Krzysztof;4;4.0
491;De Carvalho, Francisco De Assis Tenhorio;Kiers, Henk;4;4.0
492;De Carvalho, Francisco De Assis Tenhorio;Tibshirani, Robert;4;1.0
493;De Carvalho, Francisco De Assis Tenhorio;Paula Brito;4;3.0
494;De Carvalho, Francisco De Assis Tenhorio;Verde, Rosanna;4;5.0
495;De Carvalho, Francisco De Assis Tenhorio;Vichi, Maurizio;4;1.0
496;De Carvalho, Francisco De Assis Tenhorio;Wolfgang A. Gaul;4;1.0
497;De Carvalho, Francisco De Assis Tenhorio;Edvin Diday;4;11.0
498;Ferligoj, Anuska;Batagelj, Vladimir;4;2.0
499;Ferligoj, Anuska;Kuntz, Pascale;4;1.0
500;Ferligoj, Anuska;Murtagh, Fionn;4;1.0
501;Ferligoj, Anuska;Wolfgang A. Gaul;4;1.0
502;Ferligoj, Anuska;Wojtek J Krzanowski;4;1.0
503;Ferligoj, Anuska;Edvin Diday;4;1.0
504;Geyer-Schulz, Andreas;Jajuga, Krzysztof;4;1.0
505;Geyer-Schulz, Andreas;Wolfgang A. Gaul;4;4.0
506;Gorban, Alexander N;Hastie, Trevor;4;1.0
507;Groenen, Patrick J.F.;Hastie, Trevor;4;1.0
508;Groenen, Patrick J.F.;Kiers, Henk;4;2.0
509;Groenen, Patrick J.F.;Meulman, Jacqueline;4;2.0
510;Groenen, Patrick J.F.;Mirkin, Boris;4;1.0
511;Groenen, Patrick J.F.;Tibshirani, Robert;4;1.0
512;Groenen, Patrick J.F.;Vichi, Maurizio;4;1.0
513;Groenen, Patrick J.F.;Wolfgang A. Gaul;4;1.0
514;Groenen, Patrick J.F.;Wojtek J Krzanowski;4;4.0
515;Groenen, Patrick J.F.;Edvin Diday;4;1.0
516;Hastie, Trevor;Braak, Cajo ter;4;1.0
517;Hastie, Trevor;McLachlan, Geoff;4;2.0
518;Hastie, Trevor;Murtagh, Fionn;4;1.0
519;Hastie, Trevor;Adrian Raftery;4;1.0
520;Hennig, Christian;Bertrand, Patrice;4;1.0
521;Hennig, Christian;Groenen, Patrick J.F.;4;1.0
522;Hennig, Christian;Hastie, Trevor;4;1.0
523;Hennig, Christian;Jajuga, Krzysztof;4;2.0
524;Hennig, Christian;Kiers, Henk;4;2.0
525;Hennig, Christian;McLachlan, Geoff;4;3.0
526;Hennig, Christian;Tibshirani, Robert;4;2.0
527;Hennig, Christian;Paula Brito;4;1.0
528;Hennig, Christian;Gilles Celeux;4;1.0
529;Hennig, Christian;Wolfgang A. Gaul;4;3.0
530;Hennig, Christian;Edvin Diday;4;1.0
531;Hennig, Christian;Adrian Raftery;4;4.0
532;Hruschka, Harald;Hastie, Trevor;4;1.0
533;Hruschka, Harald;Tibshirani, Robert;4;1.0
534;Hruschka, Harald;Adrian Raftery;4;2.0
535;Jajuga, Krzysztof;Wolfgang A. Gaul;4;1.0
536;Kiers, Henk;Groenen, Patrick J.F.;4;2.0
537;Kiers, Henk;Hastie, Trevor;4;1.0
538;Kiers, Henk;Meulman, Jacqueline;4;1.0
539;Kiers, Henk;Palumbo, Francesco;4;1.0
540;Kiers, Henk;Rocci, Roberto;4;1.0
541;Kiers, Henk;Tibshirani, Robert;4;2.0
542;Kiers, Henk;Van Mechelen Iven;4;2.0
543;Kiers, Henk;Renato Coppi;4;2.0
544;Kiers, Henk;Vichi, Maurizio;4;1.0
545;Kiers, Henk;Wolfgang A. Gaul;4;1.0
546;Kiers, Henk;Wojtek J Krzanowski;4;2.0
547;Kiers, Henk;Edvin Diday;4;2.0
548;Kuntz, Pascale;Bertrand, Patrice;4;1.0
549;Lausen, Berthold;Groenen, Patrick J.F.;4;1.0
550;Lausen, Berthold;Hastie, Trevor;4;2.0
551;Lausen, Berthold;Jajuga, Krzysztof;4;1.0
552;Lausen, Berthold;Kiers, Henk;4;1.0
553;Lausen, Berthold;McLachlan, Geoff;4;1.0
554;Lausen, Berthold;Meulman, Jacqueline;4;1.0
555;Lausen, Berthold;Tibshirani, Robert;4;8.0
556;Lausen, Berthold;Rudolf Kruse;4;1.0
557;Leisch, Friedrich;Hastie, Trevor;4;6.0
558;Leisch, Friedrich;Hennig, Christian;4;3.0
559;Leisch, Friedrich;Lausen, Berthold;4;3.0
560;Leisch, Friedrich;McLachlan, Geoff;4;3.0
561;Leisch, Friedrich;Murtagh, Fionn;4;1.0
562;Leisch, Friedrich;Tibshirani, Robert;4;7.0
563;Leisch, Friedrich;Adrian Raftery;4;2.0
564;Makarenkov, Vladimir;Groenen, Patrick J.F.;4;2.0
565;Makarenkov, Vladimir;Hastie, Trevor;4;2.0
566;Makarenkov, Vladimir;Jajuga, Krzysztof;4;1.0
567;Makarenkov, Vladimir;Kiers, Henk;4;2.0
568;Makarenkov, Vladimir;Mirkin, Boris;4;4.0
569;Makarenkov, Vladimir;Tibshirani, Robert;4;2.0
570;Makarenkov, Vladimir;Alain Guenoche;4;6.0
571;McLachlan, Geoff;Hastie, Trevor;4;3.0
572;McLachlan, Geoff;Hennig, Christian;4;1.0
573;McLachlan, Geoff;Palumbo, Francesco;4;2.0
574;McLachlan, Geoff;Tibshirani, Robert;4;5.0
575;McLachlan, Geoff;Gilles Celeux;4;1.0
576;McLachlan, Geoff;Rudolf Kruse;4;1.0
577;McLachlan, Geoff;Wojtek J Krzanowski;4;2.0
578;McLachlan, Geoff;Adrian Raftery;4;5.0
579;Meulman, Jacqueline;Bertrand, Patrice;4;1.0
580;Meulman, Jacqueline;Groenen, Patrick J.F.;4;3.0
581;Meulman, Jacqueline;Hastie, Trevor;4;5.0
582;Meulman, Jacqueline;Kiers, Henk;4;1.0
583;Meulman, Jacqueline;Lausen, Berthold;4;1.0
584;Meulman, Jacqueline;McLachlan, Geoff;4;3.0
585;Meulman, Jacqueline;Mirkin, Boris;4;1.0
586;Meulman, Jacqueline;Murtagh, Fionn;4;1.0
587;Meulman, Jacqueline;Tibshirani, Robert;4;5.0
588;Meulman, Jacqueline;Van Mechelen Iven;4;1.0
589;Meulman, Jacqueline;Gilles Celeux;4;1.0
590;Meulman, Jacqueline;Wolfgang A. Gaul;4;2.0
591;Meulman, Jacqueline;Wojtek J Krzanowski;4;2.0
592;Meulman, Jacqueline;Gilbert Saporta;4;1.0
593;Meulman, Jacqueline;Edvin Diday;4;1.0
594;Meulman, Jacqueline;Adrian Raftery;4;2.0
595;Mirkin, Boris;Frank Klawonn;4;1.0
596;Mirkin, Boris;Rudolf Kruse;4;1.0
597;Murtagh, Fionn;Hastie, Trevor;4;1.0
598;Murtagh, Fionn;Makarenkov, Vladimir;4;1.0
599;Murtagh, Fionn;McLachlan, Geoff;4;5.0
600;Murtagh, Fionn;Tibshirani, Robert;4;1.0
601;Murtagh, Fionn;Gilles Celeux;4;1.0
602;Murtagh, Fionn;Wolfgang A. Gaul;4;4.0
603;Murtagh, Fionn;Wojtek J Krzanowski;4;1.0
604;Murtagh, Fionn;Edvin Diday;4;1.0
605;Murtagh, Fionn;Adrian Raftery;4;7.0
606;Palumbo, Francesco;Wojtek J Krzanowski;4;1.0
607;Riani, Marco;McLachlan, Geoff;4;1.0
608;Riani, Marco;Wojtek J Krzanowski;4;3.0
609;Riani, Marco;Adrian Raftery;4;2.0
610;Rocci, Roberto;Kiers, Henk;4;4.0
611;Rocci, Roberto;Vichi, Maurizio;4;2.0
612;Rocci, Roberto;Gilbert Saporta;4;1.0
613;Rocci, Roberto;Edvin Diday;4;3.0
614;Steinley, Doug;Groenen, Patrick J.F.;4;2.0
615;Steinley, Doug;Kiers, Henk;4;3.0
616;Steinley, Doug;Vichi, Maurizio;4;1.0
617;Steinley, Doug;Wolfgang A. Gaul;4;1.0
618;Steinley, Doug;Adrian Raftery;4;1.0
619;Tibshirani, Robert;Bertrand, Patrice;4;1.0
620;Tibshirani, Robert;De Carvalho, Francisco De Assis Tenhorio;4;1.0
621;Tibshirani, Robert;Hastie, Trevor;4;8.0
622;Tibshirani, Robert;McLachlan, Geoff;4;5.0
623;Tibshirani, Robert;Murtagh, Fionn;4;1.0
624;Tibshirani, Robert;Gilles Celeux;4;1.0
625;Tibshirani, Robert;Rudolf Kruse;4;1.0
626;Van Mechelen Iven;Groenen, Patrick J.F.;4;2.0
627;Van Mechelen Iven;Jajuga, Krzysztof;4;2.0
628;Van Mechelen Iven;Kiers, Henk;4;3.0
629;Van Mechelen Iven;Lausen, Berthold;4;1.0
630;Van Mechelen Iven;McLachlan, Geoff;4;1.0
631;Van Mechelen Iven;Meulman, Jacqueline;4;1.0
632;Van Mechelen Iven;Mirkin, Boris;4;1.0
633;Van Mechelen Iven;Rocci, Roberto;4;2.0
634;Van Mechelen Iven;Tibshirani, Robert;4;1.0
635;Van Mechelen Iven;Gilles Celeux;4;3.0
636;Van Mechelen Iven;Renato Coppi;4;2.0
637;Van Mechelen Iven;Vermunt, Jeroen;4;2.0
638;Van Mechelen Iven;Vichi, Maurizio;4;3.0
639;Van Mechelen Iven;Wolfgang A. Gaul;4;3.0
640;Van Mechelen Iven;Edvin Diday;4;1.0
641;Van Mechelen Iven;Adrian Raftery;4;3.0
642;Paula Brito;Bertrand, Patrice;4;1.0
643;Paula Brito;De Carvalho, Francisco De Assis Tenhorio;4;1.0
644;Paula Brito;Edvin Diday;4;1.0
645;Gilles Celeux;McLachlan, Geoff;4;1.0
646;Gilles Celeux;Tibshirani, Robert;4;1.0
647;Gilles Celeux;Adrian Raftery;4;1.0
648;Renato Coppi;Batagelj, Vladimir;4;1.0
649;Renato Coppi;Jajuga, Krzysztof;4;1.0
650;Renato Coppi;Rocci, Roberto;4;1.0
651;Renato Coppi;Rudolf Kruse;4;1.0
652;Renato Coppi;Vichi, Maurizio;4;1.0
653;Renato Coppi;Gilbert Saporta;4;1.0
654;Alain Guenoche;Jajuga, Krzysztof;4;1.0
655;Alain Guenoche;Mirkin, Boris;4;1.0
656;Alain Guenoche;Edvin Diday;4;1.0
657;Rudolf Kruse;De Carvalho, Francisco De Assis Tenhorio;4;1.0
658;Rudolf Kruse;Frank Klawonn;4;1.0
659;Verde, Rosanna;De Carvalho, Francisco De Assis Tenhorio;4;1.0
660;Verde, Rosanna;Groenen, Patrick J.F.;4;1.0
661;Verde, Rosanna;Kiers, Henk;4;2.0
662;Verde, Rosanna;Palumbo, Francesco;4;2.0
663;Verde, Rosanna;Gilles Celeux;4;2.0
664;Verde, Rosanna;Edvin Diday;4;1.0
665;Verde, Rosanna;Adrian Raftery;4;1.0
666;Vermunt, Jeroen;Rocci, Roberto;4;1.0
667;Vermunt, Jeroen;Tibshirani, Robert;4;1.0
668;Vichi, Maurizio;Geyer-Schulz, Andreas;4;1.0
669;Vichi, Maurizio;Jajuga, Krzysztof;4;1.0
670;Vichi, Maurizio;Kiers, Henk;4;1.0
671;Vichi, Maurizio;McLachlan, Geoff;4;1.0
672;Vichi, Maurizio;Meulman, Jacqueline;4;1.0
673;Vichi, Maurizio;Rocci, Roberto;4;1.0
674;Vichi, Maurizio;Van Mechelen Iven;4;1.0
675;Vichi, Maurizio;Renato Coppi;4;2.0
676;Vichi, Maurizio;Rudolf Kruse;4;1.0
677;Vichi, Maurizio;Gilbert Saporta;4;1.0
678;Vichi, Maurizio;Edvin Diday;4;2.0
679;Wolfgang A. Gaul;Geyer-Schulz, Andreas;4;2.0
680;Wolfgang A. Gaul;Vichi, Maurizio;4;1.0
681;Wojtek J Krzanowski;Batagelj, Vladimir;4;1.0
682;Wojtek J Krzanowski;Bertrand, Patrice;4;1.0
683;Wojtek J Krzanowski;De Carvalho, Francisco De Assis Tenhorio;4;1.0
684;Wojtek J Krzanowski;Ferligoj, Anuska;4;1.0
685;Wojtek J Krzanowski;Steinley, Doug;4;1.0
686;Gilbert Saporta;Batagelj, Vladimir;4;1.0
687;Gilbert Saporta;Bertrand, Patrice;4;1.0
688;Gilbert Saporta;Ferligoj, Anuska;4;1.0
689;Gilbert Saporta;Hennig, Christian;4;1.0
690;Gilbert Saporta;Jajuga, Krzysztof;4;1.0
691;Gilbert Saporta;Steinley, Doug;4;1.0
692;Gilbert Saporta;Tibshirani, Robert;4;1.0
693;Gilbert Saporta;Gilles Celeux;4;1.0
694;Gilbert Saporta;Verde, Rosanna;4;1.0
695;Edvin Diday;Bertrand, Patrice;4;1.0
696;Edvin Diday;Groenen, Patrick J.F.;4;1.0
697;Edvin Diday;Jajuga, Krzysztof;4;1.0
698;Edvin Diday;Kiers, Henk;4;1.0
699;Edvin Diday;Meulman, Jacqueline;4;1.0
700;Edvin Diday;Van Mechelen Iven;4;1.0
701;Edvin Diday;Paula Brito;4;2.0
702;Edvin Diday;Gilles Celeux;4;2.0
703;Edvin Diday;Alain Guenoche;4;1.0
704;Edvin Diday;Verde, Rosanna;4;1.0
705;Edvin Diday;Wolfgang A. Gaul;4;1.0
706;Edvin Diday;Gilbert Saporta;4;1.0
707;Adrian Raftery;Hastie, Trevor;4;1.0
708;Adrian Raftery;McLachlan, Geoff;4;2.0
709;Adrian Raftery;Meulman, Jacqueline;4;1.0
710;Adrian Raftery;Murtagh, Fionn;4;2.0
711;Adrian Raftery;Tibshirani, Robert;4;1.0
712;Adrian Raftery;Gilles Celeux;4;2.0
713;Batagelj, Vladimir;Bertrand, Patrice;5;1.0
714;Batagelj, Vladimir;Bodjanova, Slavka;5;1.0
715;Batagelj, Vladimir;De Carvalho, Francisco De Assis Tenhorio;5;1.0
716;Batagelj, Vladimir;Ferligoj, Anuska;5;3.0
717;Batagelj, Vladimir;Geyer-Schulz, Andreas;5;1.0
718;Batagelj, Vladimir;Groenen, Patrick J.F.;5;1.0
719;Batagelj, Vladimir;Hastie, Trevor;5;1.0
720;Batagelj, Vladimir;Hennig, Christian;5;2.0
721;Batagelj, Vladimir;Jajuga, Krzysztof;5;1.0
722;Batagelj, Vladimir;Kiers, Henk;5;1.0
723;Batagelj, Vladimir;Kuntz, Pascale;5;1.0
724;Batagelj, Vladimir;Lausen, Berthold;5;1.0
725;Batagelj, Vladimir;Leisch, Friedrich;5;1.0
726;Batagelj, Vladimir;Makarenkov, Vladimir;5;1.0
727;Batagelj, Vladimir;Meulman, Jacqueline;5;1.0
728;Batagelj, Vladimir;Mirkin, Boris;5;1.0
729;Batagelj, Vladimir;Murtagh, Fionn;5;2.0
730;Batagelj, Vladimir;Palumbo, Francesco;5;1.0
731;Batagelj, Vladimir;Rocci, Roberto;5;1.0
732;Batagelj, Vladimir;Tibshirani, Robert;5;1.0
733;Batagelj, Vladimir;Van Mechelen Iven;5;1.0
734;Batagelj, Vladimir;Paula Brito;5;1.0
735;Batagelj, Vladimir;Alain Guenoche;5;1.0
736;Batagelj, Vladimir;Rudolf Kruse;5;1.0
737;Batagelj, Vladimir;Verde, Rosanna;5;1.0
738;Batagelj, Vladimir;Vichi, Maurizio;5;1.0
739;Batagelj, Vladimir;Wolfgang A. Gaul;5;1.0
740;Batagelj, Vladimir;Wojtek J Krzanowski;5;1.0
741;Batagelj, Vladimir;Edvin Diday;5;2.0
742;Batagelj, Vladimir;Adrian Raftery;5;1.0
743;Bertrand, Patrice;De Carvalho, Francisco De Assis Tenhorio;5;1.0
744;Bertrand, Patrice;Mirkin, Boris;5;1.0
745;Bertrand, Patrice;Steinley, Doug;5;1.0
746;Bertrand, Patrice;Tibshirani, Robert;5;2.0
747;Bertrand, Patrice;Vermunt, Jeroen;5;1.0
748;Bertrand, Patrice;Wojtek J Krzanowski;5;1.0
749;Braak, Cajo ter;Tibshirani, Robert;5;1.0
750;De Carvalho, Francisco De Assis Tenhorio;Bertrand, Patrice;5;1.0
751;De Carvalho, Francisco De Assis Tenhorio;Groenen, Patrick J.F.;5;2.0
752;De Carvalho, Francisco De Assis Tenhorio;Jajuga, Krzysztof;5;5.0
753;De Carvalho, Francisco De Assis Tenhorio;Kiers, Henk;5;2.0
754;De Carvalho, Francisco De Assis Tenhorio;Murtagh, Fionn;5;1.0
755;De Carvalho, Francisco De Assis Tenhorio;Paula Brito;5;5.0
756;De Carvalho, Francisco De Assis Tenhorio;Gilles Celeux;5;5.0
757;De Carvalho, Francisco De Assis Tenhorio;Verde, Rosanna;5;6.0
758;De Carvalho, Francisco De Assis Tenhorio;Vichi, Maurizio;5;1.0
759;De Carvalho, Francisco De Assis Tenhorio;Wolfgang A. Gaul;5;6.0
760;De Carvalho, Francisco De Assis Tenhorio;Edvin Diday;5;8.0
761;Ferligoj, Anuska;Bertrand, Patrice;5;1.0
762;Ferligoj, Anuska;Bodjanova, Slavka;5;1.0
763;Ferligoj, Anuska;De Carvalho, Francisco De Assis Tenhorio;5;1.0
764;Ferligoj, Anuska;Geyer-Schulz, Andreas;5;1.0
765;Ferligoj, Anuska;Groenen, Patrick J.F.;5;1.0
766;Ferligoj, Anuska;Hastie, Trevor;5;1.0
767;Ferligoj, Anuska;Hennig, Christian;5;1.0
768;Ferligoj, Anuska;Jajuga, Krzysztof;5;1.0
769;Ferligoj, Anuska;Kiers, Henk;5;1.0
770;Ferligoj, Anuska;Kuntz, Pascale;5;1.0
771;Ferligoj, Anuska;Lausen, Berthold;5;1.0
772;Ferligoj, Anuska;Leisch, Friedrich;5;1.0
773;Ferligoj, Anuska;Makarenkov, Vladimir;5;1.0
774;Ferligoj, Anuska;Meulman, Jacqueline;5;1.0
775;Ferligoj, Anuska;Mirkin, Boris;5;1.0
776;Ferligoj, Anuska;Murtagh, Fionn;5;1.0
777;Ferligoj, Anuska;Rocci, Roberto;5;1.0
778;Ferligoj, Anuska;Tibshirani, Robert;5;1.0
779;Ferligoj, Anuska;Van Mechelen Iven;5;1.0
780;Ferligoj, Anuska;Paula Brito;5;1.0
781;Ferligoj, Anuska;Alain Guenoche;5;1.0
782;Ferligoj, Anuska;Rudolf Kruse;5;1.0
783;Ferligoj, Anuska;Verde, Rosanna;5;1.0
784;Ferligoj, Anuska;Vermunt, Jeroen;5;1.0
785;Ferligoj, Anuska;Vichi, Maurizio;5;1.0
786;Ferligoj, Anuska;Wolfgang A. Gaul;5;2.0
787;Ferligoj, Anuska;Wojtek J Krzanowski;5;1.0
788;Ferligoj, Anuska;Gilbert Saporta;5;1.0
789;Ferligoj, Anuska;Edvin Diday;5;1.0
790;Ferligoj, Anuska;Adrian Raftery;5;1.0
791;Geyer-Schulz, Andreas;Jajuga, Krzysztof;5;1.0
792;Geyer-Schulz, Andreas;Kiers, Henk;5;1.0
793;Geyer-Schulz, Andreas;Wolfgang A. Gaul;5;2.0
794;Geyer-Schulz, Andreas;Edvin Diday;5;1.0
795;Gorban, Alexander N;Batagelj, Vladimir;5;1.0
796;Gorban, Alexander N;Hastie, Trevor;5;1.0
797;Gorban, Alexander N;McLachlan, Geoff;5;1.0
798;Gorban, Alexander N;Tibshirani, Robert;5;1.0
799;Gorban, Alexander N;Adrian Raftery;5;1.0
800;Groenen, Patrick J.F.;Braak, Cajo ter;5;1.0
801;Groenen, Patrick J.F.;Hastie, Trevor;5;1.0
802;Groenen, Patrick J.F.;Jajuga, Krzysztof;5;1.0
803;Groenen, Patrick J.F.;Kiers, Henk;5;2.0
804;Groenen, Patrick J.F.;Meulman, Jacqueline;5;12.0
805;Groenen, Patrick J.F.;Riani, Marco;5;1.0
806;Groenen, Patrick J.F.;Tibshirani, Robert;5;3.0
807;Groenen, Patrick J.F.;Van Mechelen Iven;5;1.0
808;Groenen, Patrick J.F.;Renato Coppi;5;3.0
809;Groenen, Patrick J.F.;Vermunt, Jeroen;5;1.0
810;Groenen, Patrick J.F.;Wolfgang A. Gaul;5;1.0
811;Groenen, Patrick J.F.;Wojtek J Krzanowski;5;5.0
812;Groenen, Patrick J.F.;Edvin Diday;5;3.0
813;Hastie, Trevor;Braak, Cajo ter;5;2.0
814;Hastie, Trevor;McLachlan, Geoff;5;1.0
815;Hastie, Trevor;Meulman, Jacqueline;5;3.0
816;Hastie, Trevor;Rudolf Kruse;5;1.0
817;Hennig, Christian;Jajuga, Krzysztof;5;1.0
818;Hennig, Christian;McLachlan, Geoff;5;1.0
819;Hennig, Christian;Wolfgang A. Gaul;5;2.0
820;Hennig, Christian;Adrian Raftery;5;6.0
821;Hruschka, Harald;Hastie, Trevor;5;2.0
822;Hruschka, Harald;Tibshirani, Robert;5;2.0
823;Hruschka, Harald;Wolfgang A. Gaul;5;1.0
824;Hruschka, Harald;Adrian Raftery;5;1.0
825;Jajuga, Krzysztof;McLachlan, Geoff;5;1.0
826;Jajuga, Krzysztof;Adrian Raftery;5;2.0
827;Kiers, Henk;Groenen, Patrick J.F.;5;7.0
828;Kiers, Henk;Lausen, Berthold;5;1.0
829;Kiers, Henk;Meulman, Jacqueline;5;7.0
830;Kiers, Henk;Mirkin, Boris;5;1.0
831;Kiers, Henk;Palumbo, Francesco;5;1.0
832;Kiers, Henk;Tibshirani, Robert;5;4.0
833;Kiers, Henk;Van Mechelen Iven;5;5.0
834;Kiers, Henk;Renato Coppi;5;4.0
835;Kiers, Henk;Rudolf Kruse;5;1.0
836;Kiers, Henk;Vichi, Maurizio;5;1.0
837;Kiers, Henk;Wojtek J Krzanowski;5;2.0
838;Kiers, Henk;Edvin Diday;5;2.0
839;Kuntz, Pascale;De Carvalho, Francisco De Assis Tenhorio;5;1.0
840;Lausen, Berthold;Jajuga, Krzysztof;5;1.0
841;Lausen, Berthold;Leisch, Friedrich;5;1.0
842;Lausen, Berthold;Palumbo, Francesco;5;1.0
843;Lausen, Berthold;Tibshirani, Robert;5;3.0
844;Lausen, Berthold;Rudolf Kruse;5;3.0
845;Lausen, Berthold;Vermunt, Jeroen;5;1.0
846;Leisch, Friedrich;Hastie, Trevor;5;7.0
847;Leisch, Friedrich;Hennig, Christian;5;2.0
848;Leisch, Friedrich;Lausen, Berthold;5;1.0
849;Leisch, Friedrich;McLachlan, Geoff;5;4.0
850;Leisch, Friedrich;Tibshirani, Robert;5;4.0
851;Leisch, Friedrich;Vichi, Maurizio;5;5.0
852;Leisch, Friedrich;Wojtek J Krzanowski;5;1.0
853;Leisch, Friedrich;Adrian Raftery;5;3.0
854;Makarenkov, Vladimir;Bertrand, Patrice;5;1.0
855;Makarenkov, Vladimir;Groenen, Patrick J.F.;5;1.0
856;Makarenkov, Vladimir;Hastie, Trevor;5;1.0
857;Makarenkov, Vladimir;Kiers, Henk;5;1.0
858;Makarenkov, Vladimir;Mirkin, Boris;5;4.0
859;Makarenkov, Vladimir;Tibshirani, Robert;5;1.0
860;Makarenkov, Vladimir;Alain Guenoche;5;1.0
861;Makarenkov, Vladimir;Wolfgang A. Gaul;5;4.0
862;Makarenkov, Vladimir;Edvin Diday;5;1.0
863;McLachlan, Geoff;De Carvalho, Francisco De Assis Tenhorio;5;1.0
864;McLachlan, Geoff;Hastie, Trevor;5;3.0
865;McLachlan, Geoff;Hennig, Christian;5;2.0
866;McLachlan, Geoff;Meulman, Jacqueline;5;1.0
867;McLachlan, Geoff;Tibshirani, Robert;5;11.0
868;McLachlan, Geoff;Gilles Celeux;5;3.0
869;McLachlan, Geoff;Adrian Raftery;5;7.0
870;Meulman, Jacqueline;Groenen, Patrick J.F.;5;1.0
871;Meulman, Jacqueline;Hastie, Trevor;5;1.0
872;Meulman, Jacqueline;Mirkin, Boris;5;1.0
873;Meulman, Jacqueline;Tibshirani, Robert;5;1.0
874;Meulman, Jacqueline;Alain Guenoche;5;1.0
875;Mirkin, Boris;Hastie, Trevor;5;3.0
876;Mirkin, Boris;Kiers, Henk;5;2.0
877;Mirkin, Boris;McLachlan, Geoff;5;1.0
878;Mirkin, Boris;Murtagh, Fionn;5;2.0
879;Mirkin, Boris;Tibshirani, Robert;5;3.0
880;Mirkin, Boris;Rudolf Kruse;5;1.0
881;Mirkin, Boris;Wojtek J Krzanowski;5;3.0
882;Mirkin, Boris;Adrian Raftery;5;1.0
883;Murtagh, Fionn;De Carvalho, Francisco De Assis Tenhorio;5;2.0
884;Murtagh, Fionn;Hastie, Trevor;5;1.0
885;Murtagh, Fionn;McLachlan, Geoff;5;2.0
886;Murtagh, Fionn;Mirkin, Boris;5;2.0
887;Murtagh, Fionn;Tibshirani, Robert;5;2.0
888;Murtagh, Fionn;Gilles Celeux;5;3.0
889;Murtagh, Fionn;Verde, Rosanna;5;1.0
890;Murtagh, Fionn;Edvin Diday;5;1.0
891;Murtagh, Fionn;Adrian Raftery;5;6.0
892;Palumbo, Francesco;Groenen, Patrick J.F.;5;2.0
893;Palumbo, Francesco;Kiers, Henk;5;2.0
894;Palumbo, Francesco;Meulman, Jacqueline;5;2.0
895;Palumbo, Francesco;Steinley, Doug;5;1.0
896;Palumbo, Francesco;Vichi, Maurizio;5;2.0
897;Palumbo, Francesco;Edvin Diday;5;1.0
898;Riani, Marco;Batagelj, Vladimir;5;1.0
899;Riani, Marco;Bertrand, Patrice;5;1.0
900;Riani, Marco;Ferligoj, Anuska;5;1.0
901;Riani, Marco;Geyer-Schulz, Andreas;5;1.0
902;Riani, Marco;Groenen, Patrick J.F.;5;1.0
903;Riani, Marco;Hennig, Christian;5;1.0
904;Riani, Marco;Jajuga, Krzysztof;5;1.0
905;Riani, Marco;Kiers, Henk;5;1.0
906;Riani, Marco;Meulman, Jacqueline;5;3.0
907;Riani, Marco;Rocci, Roberto;5;1.0
908;Riani, Marco;Rudolf Kruse;5;1.0
909;Riani, Marco;Vichi, Maurizio;5;3.0
910;Riani, Marco;Wolfgang A. Gaul;5;1.0
911;Riani, Marco;Wojtek J Krzanowski;5;1.0
912;Riani, Marco;Edvin Diday;5;1.0
913;Riani, Marco;Adrian Raftery;5;1.0
914;Rocci, Roberto;Groenen, Patrick J.F.;5;1.0
915;Rocci, Roberto;Kiers, Henk;5;1.0
916;Rocci, Roberto;McLachlan, Geoff;5;1.0
917;Rocci, Roberto;Meulman, Jacqueline;5;1.0
918;Rocci, Roberto;Renato Coppi;5;1.0
919;Rocci, Roberto;Vichi, Maurizio;5;1.0
920;Rocci, Roberto;Gilbert Saporta;5;1.0
921;Rocci, Roberto;Edvin Diday;5;1.0
922;Steinley, Doug;Batagelj, Vladimir;5;1.0
923;Steinley, Doug;Bertrand, Patrice;5;1.0
924;Steinley, Doug;Ferligoj, Anuska;5;1.0
925;Steinley, Doug;Groenen, Patrick J.F.;5;3.0
